ID,Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos_Involucrados,Heridos,Accidente _con,Heridos _SI/NO ,Muertes,Clase_Accidente
238,7/10/2023 0:00,A001576743,CARRERA 45A CALLE 16   COLINAS,COLINAS,2,1,HERIDOS,1,NO APLICA,CHOQUE
239,7/7/2023 0:00,A001576742,CALLE 10A CARRERA 25   SIN INFORMACIÓN DEL BARRIO,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
240,7/12/2023 0:00,A001576744,LOTE N 2 VIA CHICHCIMENE  FRENTE  FINCA SAN ANTONIO    LOMA DE TIGRE,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
241,7/14/2023 0:00,A001576745,CALLE 12 CARRERA 24   DORADO,DORADO,2,2,HERIDOS,1,NO APLICA,CHOQUE
242,7/16/2023 0:00,A001576746,KILOMETRO 2 VIA VAQUEROS -CHICHIMENE     SAN ISIDRO DE CHICHIMENE,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
243,7/18/2023 0:00,A001576747,CALLE 23 N-19-03   ARAGUANEY,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
244,7/21/2023 0:00,A001576749,KILOMETRO 1 FINCA PORVENIR   VEREDA SAN NICOLAS,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
245,7/19/2023 0:00,A001576748,CALLE 18 CARRERA 5   POPULAR,POPULAR,2,1,HERIDOS,1,NO APLICA,CHOQUE
246,7/22/2023 0:00,A001576750,CALLE 10A CARRERA 25  B/EVEREST,No registra,3,1,HERIDOS,1,NO APLICA,CHOQUE
247,7/24/2023 0:00,A001576751,CALLE 12 CARRERA 33   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
248,7/26/2023 0:00,A001576752,KILOMETRO 4 DSDE COLEGIO JUAN ROZO VIA GRAVICON,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
249,7/28/2023 0:00,A001576753,CALLE 11 CRA 27 -36    LAS ACACIAS,LAS ACACIAS,2,1,HERIDOS,1,NO APLICA,CHOQUE
250,8/2/2023 0:00,A001576754,CALLE 23 CARRERA 24   LA TIZA,LA TIZA,2,1,HERIDOS,1,NO APLICA,CHOQUE
251,8/3/2023 0:00,A001576755,CARRERA 17 CALLE  21-49  B/ARAGUANEY,No registra,2,0,HERIDOS,1,NO APLICA,CHOQUE
252,8/6/2023 0:00,A001576757,DIAGONAL 15 N: 32-20    VILLA CASTILLA,VILLA CASTILLA,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
253,8/4/2023 0:00,A001576756,CARRERA 23 N. 18-63    MANCERA,MANCERA,3,1,HERIDOS,1,NO APLICA,CHOQUE
254,8/12/2023 0:00,A001576758,CALLE 14 CARRERA 35-23   INDEPENDENCIA,INDEPENDENCIA,2,1,HERIDOS,1,NO APLICA,CHOQUE
255,8/16/2023 0:00,A001576759,CALLE 14 CARRERA 21   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
256,8/18/2023 0:00,A001576760,KILOMETRO 3+700MTS VIA ACACIAS  VEREDA LA ESMERALDA     ESMERALDA,No registra,2,3,HERIDOS,1,NO APLICA,CHOQUE
257,8/20/2023 0:00,A001576761,KILOMETRO 3+100 MTS      ESMERALDA,No registra,2,1,MUERTOS,0,1,CHOQUE
258,8/20/2023 0:00,A001576762,KILOMETRO 22+450 MTS VIA DINAMARCA,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
259,8/22/2023 0:00,A001576763,CARRERA 31 CALLE 16   BACHUE,BACHUE,2,2,HERIDOS,1,NO APLICA,CHOQUE
260,8/26/2023 0:00,A001576764,CALLE 11 CARRERA 25   DORADO,DORADO,2,1,HERIDOS,1,NO APLICA,CHOQUE
261,9/7/2023 0:00,A001576765,CARRERA 23 # 23-30 EDS MARIA ALEJANDRA    SIN INFORMACIÓN DEL BARRIO,No registra,2,0,MUERTOS,0,1,CHOQUE
262,9/9/2023 0:00,A001576768,CARRERA 30 CALLE 10A BARRIO PANORAMA II,No registra,2,3,HERIDOS,1,NO APLICA,CHOQUE
263,9/11/2023 0:00,A001602209,AVENIDA 23 CARRERA 30   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
264,9/7/2023 0:00,A001576766,CARRERA 29 # 18A-40     SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
265,9/8/2023 0:00,A001576767,CARRERA 13 #  12.44    JUAN MELLAO,JUAN MELLAO,2,1,HERIDOS,1,NO APLICA,CHOQUE
266,9/16/2023 0:00,A001602211,AVENIDA 23 CARRERA 15   SIN INFORMACIÓN DEL BARRIO,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
267,9/16/2023 0:00,A001602210,CALLE 19 N 29A-34    SIN INFORMACIÓN DEL BARRIO,No registra,2,5,HERIDOS,1,NO APLICA,CHOQUE
268,9/18/2023 0:00,A001602212,CARRERA 23 FRENTE ALA BIBLIOTECA MUNICIPAL    SIN INFORMACIÓN DEL BARRIO,No registra,1,1,HERIDOS,1,NO APLICA,ATROPELLO
269,9/27/2023 0:00,A001602213,KILOMETRO 1+100 MTS DESDE JUAN ROZO VIA DINAMARCA     SANTA TERESITA,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
270,9/28/2023 0:00,A001602214,CALLE 18 CARRERA 18   SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
271,10/1/2023 0:00,A001602215,KILOMETRO 1 VIA ANTIGUA GUAMAL    RANCHO GRANDE,No registra,1,0,MUERTOS,0,1,CHOQUE
272,10/2/2023 0:00,A001602216,CALLE 16 CARRERA 27   EL BOSQUE,EL BOSQUE,2,3,HERIDOS,1,NO APLICA,CHOQUE
273,10/5/2023 0:00,A001602218,KILOMETRO 8 VIA VAQUEROS CLUB  CHICHIMENE     SAN ISIDRO DE CHICHIMENE,No registra,2,0,MUERTOS,0,1,CHOQUE
274,10/4/2023 0:00,C-001582322,KILOMETRO 45+340 MTS      LA CECILITA,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
275,10/5/2023 0:00,A001602217,CALLE 11 N 27 -19   LAS ACACIAS,LAS ACACIAS,2,2,HERIDOS,1,NO APLICA,CHOQUE
276,10/7/2023 0:00,A001602219,KILOMETRO 14 VIA  Dinamrca     MONTELIBANO BAJO,No registra,2,0,MUERTOS,0,1,CHOQUE
277,10/11/2023 0:00,A001602220,CALLE 11 CARRERA 38   INDEPENDENCIA,INDEPENDENCIA,2,2,HERIDOS,1,NO APLICA,CHOQUE
278,10/13/2023 0:00,C-00158479,KILOMETRO 46+970 MTS VIA VILLAVICENCIO GRANADA  SECTOR CODE SOLA,No registra,2,0,MUERTOS,0,2,CHOQUE
279,10/14/2023 0:00,A001602221,CALLE 41 ENTRE LA DIAGONAL 15 Y AVENIDA 23  FRENTE ALA  NORMAL SUPERIOR,No registra,1,1,HERIDOS,1,NO APLICA,ATROPELLO
280,10/15/2023 0:00,A001602222,CALLE 14 CARRERA 34   BACHUE,BACHUE,2,1,HERIDOS,1,NO APLICA,CHOQUE
